locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_00001	CDS	1392	serP2		COG1113	DL-alanine permease SerP2
IMKOHAHG_00002	CDS	567				hypothetical protein
IMKOHAHG_00003	CDS	1014				Zinc-type alcohol dehydrogenase-like protein
IMKOHAHG_00004	CDS	318				hypothetical protein
IMKOHAHG_00005	CDS	570				hypothetical protein
IMKOHAHG_00006	CDS	477	nsrR			HTH-type transcriptional repressor NsrR
IMKOHAHG_00007	CDS	2535	pepN	3.4.11.2		Aminopeptidase N
IMKOHAHG_00008	CDS	927	bcrA			Bacitracin transport ATP-binding protein BcrA
IMKOHAHG_00009	CDS	804				hypothetical protein
IMKOHAHG_00010	CDS	771				hypothetical protein
IMKOHAHG_00011	CDS	900	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IMKOHAHG_00012	CDS	669	regX3		COG0745	Sensory transduction protein regX3
IMKOHAHG_00013	CDS	1584	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IMKOHAHG_00014	CDS	558		2.3.1.-		Putative acetyltransferase
IMKOHAHG_00015	CDS	759				hypothetical protein
IMKOHAHG_00016	CDS	1356			COG3385	IS4 family transposase ISLho3
IMKOHAHG_00017	CDS	771	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IMKOHAHG_00018	CDS	636				hypothetical protein
IMKOHAHG_00019	CDS	372				hypothetical protein
IMKOHAHG_00020	CDS	882	catM			HTH-type transcriptional regulator CatM
IMKOHAHG_00021	CDS	594				hypothetical protein
IMKOHAHG_00022	CDS	840		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
IMKOHAHG_00023	CDS	567				hypothetical protein
IMKOHAHG_00024	CDS	1017				hypothetical protein
IMKOHAHG_00025	CDS	633				hypothetical protein
IMKOHAHG_00026	CDS	747				hypothetical protein
IMKOHAHG_00027	CDS	1434	ribZ_1			Riboflavin transporter RibZ
IMKOHAHG_00028	CDS	561				hypothetical protein
IMKOHAHG_00029	CDS	1044	adh_1	1.1.1.1	COG1063	Alcohol dehydrogenase
IMKOHAHG_00030	CDS	252				hypothetical protein
IMKOHAHG_00031	CDS	414				hypothetical protein
IMKOHAHG_00032	CDS	573	slmA			Nucleoid occlusion factor SlmA
IMKOHAHG_00033	CDS	921				hypothetical protein
IMKOHAHG_00034	CDS	1305	rarA_1		COG2256	Replication-associated recombination protein A
IMKOHAHG_00035	CDS	849	nudC	3.6.1.22		NADH pyrophosphatase
IMKOHAHG_00036	CDS	225				hypothetical protein
IMKOHAHG_00037	CDS	363				hypothetical protein
IMKOHAHG_00038	CDS	1041	adh_2	1.1.1.1	COG1063	Alcohol dehydrogenase
IMKOHAHG_00039	CDS	1014	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IMKOHAHG_00040	CDS	1179	cfa_1	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
IMKOHAHG_00041	CDS	519	paiA	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
IMKOHAHG_00042	CDS	453				hypothetical protein
IMKOHAHG_00043	CDS	654				hypothetical protein
IMKOHAHG_00044	CDS	306				hypothetical protein
IMKOHAHG_00045	CDS	2049				hypothetical protein
IMKOHAHG_00046	CDS	276				hypothetical protein
IMKOHAHG_00047	CDS	249				hypothetical protein
IMKOHAHG_00048	CDS	321				hypothetical protein
IMKOHAHG_00049	CDS	384				hypothetical protein
IMKOHAHG_00050	CDS	261				hypothetical protein
